POI_name,Average_Rating,Destination_name,POI_reviews_count,POI_category,POI_description,POI_rating,POI_address,POI_Suggested_Duration,POI_open_close_hours,Review_Sentiment,Trip_type
Angel Stadium of Anaheim,4.5,Anaheim,1709,Arenas & Stadiums,,4.5,"2000 E Gene Autry Way, Anaheim, CA 92806-6143",,,Positive,Historic
Angel's Attic,5.0,Santa Monica,9,Specialty Museums,"Victorian mansion museum filled with dolls, dollhouses and other collectible items; high tea is also served.",5.0,"516 Colorado Ave, Santa Monica, CA 90401-2408",,,Positive,Historic
Angels Flight Railway,4.0,Los Angeles,397,Historic Sites,A rebuilt historic incline railway.,4.0,"356 S Olive St, Los Angeles, CA 90013-1003",,,Positive,Historic
Animation Academy,4.0,Anaheim,23,Rides & Activities,,4.0,"1313 Disneyland Drive Hollywood Land, Anaheim, CA",,,Positive,Adventurous
Annenberg Community Beach House,4.0,Santa Monica,132,Visitor Centers,"We miss our Beach House community and hope you and your loved ones are well. In light of the unprecedented COVID-19 pandemic and the resulting budget crisis, the Beach House summer will be different than in years past. A notable change at the...",4.0,"415 Palisades Beach Rd Santa Monica State Beach, Santa Monica, CA 90402-1601",Suggested Duration:More than 3 hours,,Positive,Activities
Annenberg Theatre,4.0,Palm Springs,86,Theaters,An intimate 440-seat theater that is located in the Palm Springs Desert Museum features cutting-edge lighting and sound facilities.,4.0,"101 Museum Drive at Tahquitz, Palm Springs, Greater Palm Springs, CA 92262",,,Positive,Activities
Antique Galleries of Palm Springs,4.0,Palm Springs,55,Art Galleries,,4.0,"505 E Industrial Pl, Palm Springs, Greater Palm Springs, CA 92264-0659",,,Positive,Historic
Area 5.1 Winery,4.5,Santa Barbara,15,Wineries & Vineyards,,4.5,"137 Anacapa St Unit B, Santa Barbara, CA 93101-1848",,,Positive,Relaxed
Arlington Theatre,4.5,Santa Barbara,113,Theaters,This movie theater also hosts the Santa Barbara Symphony.,4.5,"1317 State St, Santa Barbara, CA 93101-2647",,"Hours
Sun
10:00 AM - 4:00 PM
Mon - Sat
10:00 AM - 6:00 PM",Positive,Activities
Arroyo Burro County Beach Park,4.5,Santa Barbara,356,Beaches,"The locals call it Hendry's Beach, a place to meet for breakfast or a cocktail at sunset, stroll or jog the sandy shore, watch for whales, fish or ride the wild surf.",4.5,"2981 Cliff Dr, Santa Barbara, CA 93109-1024",,,Positive,Relaxed
Artesa Vineyards & Winery,4.5,Napa,1090,Wineries & Vineyards,"Over 25 years ago, Spain’s oldest winemaking family ventured to a new world: a sea-facing hillside in the Napa Valley, with rocky soils and a favorable coastal climate. It was here in Carneros that we planted new roots, building upon a 460-year...",4.5,"1345 Henry Rd, Napa, CA 94559-9705",Suggested Duration:1-2 hours,,Positive,Relaxed
Ashes & Diamonds Winery,4.5,Napa,25,Wineries & Vineyards,"Ashes & Diamonds Winery is a love letter to Napa as it was when it first took the world stage in the 1960s. Ashes & Diamonds's mid-century approach extends seamlessly through its viticulture, winemaking, and architecture. The resulting wines are a...",4.5,"4130 Howard Ln, Napa, CA 94558-1324",,,Positive,Relaxed
Au Bon Climat Tasting Room,4.5,Santa Barbara,49,Wineries & Vineyards,Our beautiful tasting room is located in downtown Santa Barbara just one street off of State Street. We offer flights of 6 wines for tastings. We are the only tasting room in town where you can taste library selections! Please come visit us soon.,4.5,"813 Anacapa St, Santa Barbara, CA 93101-2289",,"Hours
Mon - Fri
12:00 PM - 6:00 PM
Sat - Sun
11:00 AM - 6:00 PM",Positive,Relaxed
Autry Museum of the American West,4.5,Los Angeles,611,History Museums,"Explore art, history, and culture at the Autry Museum of the American West. Located in beautiful Griffith Park, the Autry presents a wide range of exhibitions and public programs-including lectures, film, theater, festivals, family events, and...",4.5,"4700 Western Heritage Way Griffith Park, Los Angeles, CA 90027-1462",Suggested Duration:1-2 hours,"Hours
Tue - Fri
10:00 AM - 4:00 PM
Sat - Sun
10:00 AM - 5:00 PM",Positive,Historic
Baby On The Move,4.5,Palm Springs,9,Monuments & Statues,,4.5,"101 N Museum Dr, Palm Springs, CA",,,Positive,Historic
Backstreet Art District,4.5,Palm Springs,16,Art Galleries,,4.5,"2600 S Cherokee Way, Palm Springs, Greater Palm Springs, CA 92264-5605",,,Positive,Historic
Baker Beach,4.5,San Francisco,944,Beaches,"Mile-long Baker Beach lies at the foot of rugged serpentine cliffs west of the Golden Gate. Large waves, undertow and rip currents make the beach unsafe for swimming, but it provides panoramic views of the Golden Gate Bridge, Marin Headlands and...",4.5,"1504 Pershing Dr, San Francisco, CA 94129-3306",,,Positive,Relaxed
Balboa Park,4.5,San Diego,12856,Parks,"One of the most popular urban parks in the United States, this bucolic paradise is packed with an array of attractions, including the world-famous San Diego Zoo.",4.5,"1549 El Prado, San Diego, CA 92101-1660",,,Positive,Relaxed
Baldacci Family Vineyards,4.5,Napa,91,Wineries & Vineyards,"Baldacci Family Vineyards is a family-owned and operated estate-grown winery located in the acclaimed Stags Leap District of the Napa Valley. Second-generation vintner, Michael Baldacci, creates limited production wines from three distinct estate...",4.5,"6236 Silverado Trl, Napa, CA 94558-9414",Suggested Duration:1-2 hours,"Hours
Fri - Sun
10:00 AM - 4:00 PM",Positive,Relaxed
Baldwin Beach,4.5,Lake Tahoe,66,Beaches,,4.5,"Baldwin Beach Road, South Lake Tahoe, CA 96150",,,Positive,Relaxed
Bargetto Winery's Monterey Tasting Room,4.5,Monterey,14,Wineries & Vineyards,Bargetto Winery's Monterey Tasting Room is a popular stop for tourists and local residents. Visit our tasting room on Cannery Row to taste our award-winning wines and experience the breathtaking views of the Pacific Ocean. Taste 5 wines for...,4.5,"700 Cannery Row Ste G, Monterey, CA 93940-1036",,,Positive,Relaxed
Barnard Way Linear Park,5.0,Santa Monica,4,Parks,"Located on the beach side of Barnard Way between Bicknell Avenue and Ocean Park Boulevard, this linear park is at a higher elevation than the beach which allows for panoramic views of the shoreline and the Santa Monica Pier. Two stairways located...",5.0,"2440 Barnard Way, Santa Monica, CA 90405-3776",Suggested Duration:1-2 hours,,Positive,Relaxed
Battleship USS Iowa Museum,4.5,Los Angeles,1974,Military Museums,"Battleship USS Iowa served our country proudly in WWII, Korea, and the Cold War. Today, the historic U.S. Navy ship is an iconic Los Angeles landmark and considered one of the region’s best outdoor museums for families and visitors of all ages....",4.5,"250 S Harbor Blvd San Pedro, Los Angeles, CA 90731-2830",Suggested Duration:2-3 hours,,Positive,Historic
Benko Contemporary Art Gallery,4.0,Lake Tahoe,1,Art Galleries,,4.0,"3979 Lake Tahoe Blvd Unit 2 across from Heavenly Village, South Lake Tahoe, CA 96150-8968",,,Positive,Historic
Bibbidi Bobbidi Boutique,4.5,Anaheim,67,Character Experiences,,4.5,"1313 Disneyland Drive Fantasyland, Anaheim, CA 92802",,,Positive,Activities
Big Thunder Mountain Railroad,4.5,Anaheim,98,Rides & Activities,,4.5,"1313 Disneyland Drive Frontierland, Anaheim, CA",,,Positive,Adventurous
Bijou Community Park - Disc Golf,4.0,Lake Tahoe,32,Parks,,4.0,"1201 Al Tahoe Blvd, South Lake Tahoe, CA",,,Positive,Relaxed
Birch Aquarium at Scripps,4.5,San Diego,1898,Natural History Museums,"Birch Aquarium at Scripps is the public exploration center for the world-renowned Scripps Institution of Oceanography at UC San Diego. Perched on a bluff overlooking the Pacific Ocean, the aquarium features more than 60 habitats of fishes and...",4.5,"2300 Expedition Way Scripps Institute, La Jolla, San Diego, CA 92037",,"Hours
Sun - Sat
9:00 AM - 5:00 PM",Positive,Historic
Black Stallion Winery,4.5,Napa,227,Wineries & Vineyards,,4.5,"4089 Silverado Trl, Napa, CA 94558-1113",,,Positive,Relaxed
Boomers! Palm Springs,4.5,Palm Springs,114,Amusement & Theme Parks,"When it comes to fun, Boomers! is a blast! Whether you’re celebrating a birthday, having a party, doing corporate parties, events and team building, or spending quality time with family and friends, Boomers makes everything easier and hassle free....",4.5,"67700 E Palm Canyon Dr, Palm Springs, Greater Palm Springs, CA 92234-5455",,,Positive,Adventurous
BottleRock Napa Valley,4.5,Napa,33,Music Festivals,"Music, food, and booze are all given equal representation at this five-day festival in the heart of Napa Valley. Music fans can enjoy acts ranging from Robert Plant to Snoop Dogg, while foodies and winos can indulge their palates on some of the...",4.5,"575 3rd St,Napa Napa Valley Expo, Napa, CA 94559",,,Positive,Activities
Bouchaine Vineyards,4.5,Napa,113,Wineries & Vineyards,,4.5,"1075 Buchli Station Rd, Napa, CA 94559-9716",,,Positive,Relaxed
Bradbury Building,4.5,Los Angeles,623,Architectural Buildings,Famous 19th-century Italian Renaissance building in downtown Los Angeles.,4.5,"304 S Broadway Downtown, Los Angeles, CA 90013-1224",,,Positive,Historic
Breakwater,4.5,Monterey,40,"Beaches, Nature & Wildlife Areas",,4.5,"Breakwater, Monterey, CA",,,Positive,Relaxed
Brentwood Country Mart,5.0,Santa Monica,1,Shopping Malls,"A Los Angeles institution since 1948, bringing you a multitude of shops in one stop: organic eateries, curated brands, and specialized services.",5.0,"225 26th St, Santa Monica, CA 90402-2569",Suggested Duration:2-3 hours,"Hours
Sun
11:00 AM - 5:00 PM
Mon - Sat
10:00 AM - 6:00 PM",Positive,Activities
Buzz Lightyear Astro Blasters,4.5,Anaheim,89,Rides & Activities,,4.5,"1313 Disneyland Drive Tomorrowland, Anaheim, CA",,,Positive,Adventurous
Cable Car Museum,4.5,San Francisco,3701,Speciality Museums,"A museum to San Francisco's beloved cable cars, with a subterranean walkway that lets you see the moving cable.",4.5,"1201 Mason St, San Francisco, CA 94108-1071",Suggested Duration:< 1 hour,"Hours
Sun - Sat
10:00 AM - 6:00 PM",Positive,Historic
Cable Cars,4.5,San Francisco,25103,Tramways,"Since 1873, cable cars have run up and down the hilly city, though after the 1950s, these cars have been kept in operation more out of historic nostalgia. Seventeen miles of track remain and have been deemed a historical landmark.",4.5,"San Francisco, CA",Suggested Duration:< 1 hour,"Hours
Sun - Sat
10:00 AM - 6:00 PM",Positive,Relaxed
Cabrillo Bike Path,4.5,Santa Barbara,265,Hiking Trails,,4.5,"Santa Barbara, CA",,,Positive,Adventurous
Cabrillo National Monument,4.5,San Diego,4816,Monuments & Statues,"Stately monument honoring Cabrillo, discoverer of San Diego Bay, is located in Point Loma that overlooks the city and the Bay.",4.5,"1800 Cabrillo Memorial Dr Point Loma, San Diego, CA 92106-3601",Suggested Duration:2-3 hours,"Hours
Sun - Sat
9:00 AM - 5:00 PM",Positive,Historic
Caldwell Vineyard,5.0,Napa,75,Wineries & Vineyards,"Owner John Caldwell (JFC) is known by many names but here in legendary Napa Valley, he’s a legend all his own. Over the last 40 years John has built Caldwell Vineyard into what is arguably one of the greatest and most unique wine estates in the...",5.0,"169 Kreuzer Ln, Napa, CA 94559-3604",Suggested Duration:1-2 hours,"Hours
Sun - Sat
10:00 AM - 4:00 PM",Positive,Relaxed
California Academy of Sciences,4.5,San Francisco,5949,Science Museums,"The world’s only aquarium-planetarium-rainforest-living museum. Come nose-to-beak with penguins and parrots, watch sharks and sting rays cruise beneath your feet, and feel the spray of the California coast. Fly to Mars (and beyond the Milky Way!)...",4.5,"55 Music Concourse Dr Golden Gate Park, San Francisco, CA 94118-4503",,,Positive,Historic
California Heritage Museum,4.5,Santa Monica,16,Specialty Museums,"Located in a 19th-century home, this museum explores both the art and history of the region.",4.5,"2612 Main St, Santa Monica, CA 90405-4002",,"Hours
Wed - Sun
11:00 AM - 4:00 PM",Positive,Historic
California Sea Otter Game Refuge,4.0,Monterey,50,Nature & Wildlife Areas,,4.0,"299 Foam St Monterey Bay National Marine Sanctuary, Monterey, CA 93940-1499",,,Positive,Adventurous
Camera Obscura,4.5,Santa Monica,10,Science Museums,,4.5,"1450 Ocean Ave Santa Monica, CA Camera Obscura Art Lab, Santa Monica, CA 90401-2117",,,Positive,Historic
Cannery Row,4.0,Monterey,4337,Historic Sites,"Cannery Row is the Central Coast’s premier visitor destination. Home to some of the most luxurious hotels, world-class restaurants, boutiques & galleries, spas, premium wine tasting & exciting recreation Monterey has to offer, including the best...",4.0,"Cannery Row & Wave Streets 700 Cannery Row, Monterey, CA 93940",Suggested Duration:2-3 hours,,Positive,Historic
Cannery Row Antique Mall,4.5,Monterey,113,Antique Shops,"Located in an historical cannery building in the heart of the historic district of Cannery Row in Monterey, California. Over 100 dealers and 22,000 square feet of retail space. Specialty dealers include, nautical, Asian, garden, ephemera, photos,...",4.5,"471 Wave St, Monterey, CA 93940-1424",Suggested Duration:2-3 hours,"Hours
Sun - Sat
11:00 AM - 6:00 PM",Positive,Historic
Carmel Ridge Winery,4.5,Monterey,36,Wineries & Vineyards,,4.5,"700 Cannery Row Suite C, Monterey, CA 93940-1063",,,Positive,Relaxed
Carriage & Western Art Museum,4.0,Santa Barbara,35,Art Museums,,4.0,"129 Castillo St, Santa Barbara, CA 93101-5725",,,Positive,Historic
Casa de la Guerra,4.5,Santa Barbara,55,Historic Sites,This restored 19th-century adobe building captures the authentic feel of Santa Barbara of old.,4.5,"15 E de La Guerra St, Santa Barbara, CA 93101-2217",,,Positive,Historic
Casa del Herrero,4.5,Santa Barbara,177,"Historic Sites, Points of Interest & Landmarks","Tours are by reservation only on Wednesdays and Saturdays for those 10 years & older. Admission for the 90-minute, Docent-led tours is $25 per person. All tours are booked online via our website: http://casadelherrero.com/events/. Designated in...",4.5,"Santa Barbara, CA",Suggested Duration:1-2 hours,"Hours
Mon - Sat
9:00 AM - 5:00 PM",Positive,Historic
Cathedral of Our Lady of the Angels,4.5,Los Angeles,543,Architectural Buildings,"Located in the midst of downtown Los Angeles, only the second cathdral to be built in a US city in the past 50 year, the structure has been compared to Notre Dame in its magnificense.",4.5,"555 W Temple St, Los Angeles, CA 90012-2707",,,Positive,Historic
Chase Palm Park,4.5,Santa Barbara,60,Parks,,4.5,"323 E Cabrillo Blvd, Santa Barbara, CA 93101-1808",,,Positive,Relaxed
Chaucer's Bookstore,4.5,Santa Barbara,173,Points of Interest & Landmarks,,4.5,"3321 State St, Santa Barbara, CA 93105-2623",,,Positive,Historic
Children's Nature Institute,5.0,Santa Monica,1,Children's Museums,,5.0,"1440 Harvard St, Santa Monica, CA 90404-3105",,,Positive,Historic
Children's Pool,4.5,San Diego,1342,Beaches,"It was supposed to be a children's pool, but the harbor seals took over and it's a main tourist and local attraction. Great picture spot.",4.5,"850 Coast Blvd, La Jolla, San Diego, CA 92037-4254",,,Positive,Relaxed
Chimney Rock,4.5,Napa,204,Wineries & Vineyards,"We invite you to experience our stunning Cape Dutch inspired estate: nestled beneath the magnificent Palisades, our property cuts an impressive figure against the dominant red wine grapes we are known for, planted in the volcanic soil of Stags...",4.5,"5350 Silverado Trl, Napa, CA 94558-9410",Suggested Duration:1-2 hours,"Hours
Sun - Sat
10:00 AM - 5:00 PM",Positive,Relaxed
Christine Emerson Reed Park,5.0,Santa Monica,10,Parks,,5.0,"1133 7th St, Santa Monica, CA 90403-5203",,,Positive,Relaxed
Chumash Painted Cave State Historic Park,4.5,Santa Barbara,64,Caverns & Caves,,4.5,"Painted Caves Road, Santa Barbara, CA",,,Positive,Relaxed
Citadel Outlets,4.0,Los Angeles,1548,Factory Outlets,L.A. Style. Outlet Savings. Citadel Outlets represents a style that is uniquely Los Angeles. L.A. style is admired for its effortless yet refined presence. It is defined by the city where trends are born and passionately followed. Citadel Outlets...,4.0,"100 Citadel Dr Ste 480, Los Angeles, CA 90040-1596",Suggested Duration:More than 3 hours,"Hours
Sun - Sat
10:00 AM - 9:00 PM",Positive,Activities
City Hall,4.5,Los Angeles,345,Architectural Buildings,"After an impressive seismic rehabilitation, completed in 2001, the beloved 28-story landmark can withstand an earthquake up to magnitude 8.",4.5,"200 N. Spring St. between First and Temple, Los Angeles, CA 90012-4801",,"Hours
Mon - Fri
8:00 AM - 5:00 PM",Positive,Historic
Clos Du Val Winery,4.5,Napa,295,Wineries & Vineyards,"Nestled within the majesty of the Stags Leap District, we invite you to visit our picturesque estate, relax in the shade of our olive grove, or wander our manicured grounds. Inspired by the iconic Three Graces—Joy, Mirth, and Splendor—that have...",4.5,"5330 Silverado Trl, Napa, CA 94558-9410",,"Hours
Sun - Sat
10:00 AM - 4:00 PM",Positive,Relaxed
Coachella Valley Preserve,4.5,Palm Springs,726,Nature & Wildlife Areas,"Formed by a system of sand dunes, this 20,000-acre sanctuary is home to several species of rare wildlife and a number of palm oases.",4.5,"29200 Thousand Palms Canyon Road, Palm Springs, Greater Palm Springs, CA",,"Hours
Sun - Sat
7:00 AM - 5:00 PM",Positive,Adventurous
Coast Guard Pier,4.5,Monterey,264,Piers & Boardwalks,,4.5,"32 Cannery Row, Monterey, CA 93940-1447",,,Positive,Adventurous
Coit Tower,4.0,San Francisco,4483,Points of Interest & Landmarks,"Monument tower overlooking San Francisco. Tower includes murals from 1934 showing California business, agriculture and home life of the period. 360 Degree viewing platform at top of 212 ft tower.",4.0,"1 Telegraph Hill Blvd, San Francisco, CA 94133-3106",Suggested Duration:< 1 hour,"Hours
Sun - Sat
10:00 AM - 6:00 PM",Positive,Historic
Cold Spring Tavern,4.5,Santa Barbara,580,Mountains,A popular mountain for hiking outside of Santa Barbara.,4.5,"5995 Stagecoach Rd, Santa Barbara, CA 93105-9776",,"Hours
Thu
11:30 AM - 3:30 PM
Fri - Sun
11:30 AM - 5:00 PM",Positive,Relaxed
Colton Hall Museum,4.5,Monterey,70,History Museums,"Built in 1849 to serve as a public school and town meeting hall, this historic building is now a museum open for public touring.",4.5,"Pacific St btwn Madison and Jefferson Sts, Monterey, CA 93940",,,Positive,Historic
Cooper-Molera Adobe,4.5,Monterey,26,Historic Sites,Step back into the life and times of the 19th century when visiting this historic home and gardens dating back to the 1800s.,4.5,"525 Polk St, Monterey, CA 93940-2809",,,Positive,Historic
Coronado Bridge,4.5,San Diego,5756,Bridges,A beautiful bridge connecting San Diego to Coronado.,4.5,"State Route 75 South Embarcadero, San Diego, CA 92101",,"Hours
Sun - Sat
12:00 AM - 11:59 PM",Positive,Relaxed
Craig Krull Gallery,5.0,Santa Monica,4,Art Galleries,,5.0,"2525 Michigan Ave, Santa Monica, CA 90404-4014",,,Positive,Historic
Cuvaison,4.5,Napa,74,Wineries & Vineyards,"Founded in 1969, Cuvaison is one of the pioneering wineries that helped shape the modern era of Napa Valley winemaking. As an independent, family-owned winery for nearly five decades, we are dedicated to crafting exceptional wines from our...",4.5,"1221 Duhig Rd, Napa, CA 94559-9713",Suggested Duration:1-2 hours,"Hours
Wed - Mon
10:00 AM - 5:00 PM",Positive,Relaxed
Cuvier Park - The Wedding Bowl,4.5,San Diego,41,Parks,,4.5,"555 Coast Blvd S, La Jolla, San Diego, CA 92037-4641",,,Positive,Relaxed
Darioush Winery,4.5,Napa,1089,Wineries & Vineyards,,4.5,"4240 Silverado Trail, Napa, CA 94558",,,Positive,Relaxed
DeRubeis Fine Art of Metal Gallery,4.0,Lake Tahoe,8,Art Galleries,,4.0,"4000 Lake Tahoe Blvd Bldg A Unit 3, South Lake Tahoe, CA 96150-6993",,,Positive,Historic
Del Dotto Vineyards & Winery,4.5,Napa,486,Wineries & Vineyards,Our original historic location with our hand dug cave dating back to 1885. We offer our cave experience and barrel tasting daily featuring world reowned wines.,4.5,"1055 Atlas Peak Rd, Napa, CA 94558-1501",Suggested Duration:1-2 hours,"Hours
Sun - Sat
10:00 AM - 5:00 PM",Positive,Relaxed
Del Monte Beach,4.5,Monterey,99,"Beaches, Nature & Wildlife",,4.5,"653 Del Monte Ave, Monterey, CA 93940",,,Positive,Relaxed
Demuth Park,4.5,Palm Springs,31,Parks,Tennis anyone? This city park offers four tennis courts for public use.,4.5,"4365 E Mesquite Ave, Palm Springs, Greater Palm Springs, CA 92264-3477",,,Positive,Relaxed
Dennis the Menace Park,4.5,Monterey,714,Parks,"Designed by the creator of Dennis the Menace, this park has all sorts of unique attractions.",4.5,"Pearl Street and Camino El Estero, Monterey, CA",,,Positive,Relaxed
Desert Memorial Park,4.0,Palm Springs,54,Cemeteries,"This cemetery marks the final resting place for many of the city's most famous residents, including Frank Sinatra.",4.0,"31705 Da Vall Dr, Palm Springs, Greater Palm Springs, CA 92234-3277",,"Hours
Sun - Sat
7:00 AM - 5:00 PM",Positive,Relaxed
Dial Jones Tennis Academy,4.25,Santa Monica,27,Sports Camps & Clinics,"Dial Jones Tennis Academy (DJTA) Facilities are located in Santa Monica's beautiful west side. Ocean Park located along the shores of Santa Monica Beach, one can feel ocean breezes and relax in a stress-free environment. Reed Park is just blocks...",4.5,"2701 Barnard Way, Santa Monica, CA 90405-4070",Suggested Duration:1-2 hours,"Hours
Mon - Fri
8:00 AM - 6:00 PM
Sat - Sun
12:00 PM - 6:00 PM",Positive,Adventurous
Diorama-museum of Bhagavad-gita,5.0,Los Angeles,182,Specialty Museums,"The museum consists of eleven stunningly sculptured life-size dioramas. It combines India’s ancient doll-making artistry and yogic wisdom with America’s advanced multimedia tech. Different concepts of the Bhagavad-gita, renowned as the jewel of...",5.0,"3764 Watseka Ave, Los Angeles, CA 90034-4005",Suggested Duration:< 1 hour,"Hours
Sun - Sat
10:00 AM - 5:00 PM",Positive,Historic
Dirk Yuricich Photography Gallery,4.0,Lake Tahoe,1,Art Galleries,"Fine art photography by Dirk Yuricich. Our gallery features over 2000 ready- to - frame images including Lake Tahoe, international, abstract, and textural images. Photographs are printed on photographic paper or canvas by the photographer. We also...",4.0,"900 Ski Run Blvd, South Lake Tahoe, CA 96150-8599",,,Positive,Historic
Disney California Adventure Park,4.5,Anaheim,15495,"Amusement & Theme Parks, Disney Parks & Activities","Experience the thrill of the an old wooden rollercoaster, but with modern twists, turns and technology, at ""California Screamin."" Or enjoy a live performance by your favorite characters at Disney's newest theme park, featuring a slew of exciting...",4.5,"1313 Disneyland Drive, Anaheim, CA 92803-3232",,,Positive,Adventurous
Disneyland Monorail,4.5,Anaheim,55,Rides & Activities,,4.5,"1313 Disneyland Drive Tomorrowland, Anaheim, CA",,,Positive,Adventurous
Disneyland Park,4.5,Anaheim,15520,"Amusement & Theme Parks, Disney Parks & Activities","Welcome to the place where imagination is the destination. For young and old, big and small — it's the happiest place on earth! Come build memories with your family that last a lifetime as you discover the wonder of this magical, fantastical...",4.5,"1313 Disneyland Dr, Anaheim, CA 92802",,,Positive,Adventurous
Disneyland Railroad,4.5,Anaheim,55,Rides & Activities,,4.5,"1313 Disneyland Drive Main Street, U.S.A., Anaheim, CA",,,Positive,Adventurous
Disneyland Resort VIP Tours,4.5,Anaheim,49,Disney Parks & Activities,,4.5,"1313 Disneyland Drive, Anaheim, CA 92803",,,Positive,Adventurous
Doc Rickett's Pacific Biological Laboratories,4.5,Monterey,54,Historic Sites,"A landmark on Cannery Row, this is the spot where John Steinbeck's good buddy and biologist Ed ""Doc"" Ricketts prepped the marine life he collected before shipping it to schools and medical facilities.",4.5,"800 Cannery Row, Monterey, CA 93940-1023",,,Positive,Historic
Dodger Stadium,4.75,Los Angeles,2055,Arenas & Stadiums,,4.5,"1000 Elysian Park Avenue, Los Angeles, CA 90012",,,Positive,Historic
Dolby Theatre,4.0,Los Angeles,1057,Theaters,"Home of the Academy Awards, Kodak Theater offers a 30-minute guided tour that includes a visit to the theater, VIP room and Oscar history.",4.0,"6801 Hollywood Blvd, Los Angeles, CA 90028-6136",,,Positive,Activities
